"Year","District","Trespass","Theft","Battery","Narcotics","Assualt","Robbery","OtherOffense","Deceptive","CriminalDmg","Burglary","SexOffense","Weapons","Kidnapping","Interference","SexAssualt","VehicleTheft","Prostitution","Arson","PublicPeace","ChildrenOffense","Liquor","Intimidation","Stalking","Gambling","NonCriminal","Obscenity","PublicIndecency","Narcotic","Homicide","CCViolation","Trafficking","Ritualism","Domestic","Total"
2016,"District 16",360,2215,1369,309,592,183,739,927,1181,660,37,28,19,13,40,472,0,11,54,67,6,4,6,3,7,3,0,0,4,8,0,0,0,9317
2016,"District 3",295,1897,2889,374,1039,746,1002,547,1507,860,45,168,7,58,65,425,3,12,79,128,0,6,8,8,2,0,0,1,40,1,1,0,0,12213
2016,"District 20",127,1174,756,111,259,133,269,465,453,240,16,40,4,7,52,181,0,1,22,27,3,1,2,1,2,2,0,0,3,1,0,0,0,4352
2016,"District 17",134,2014,1272,155,458,344,464,594,1031,507,43,51,5,13,41,463,1,11,22,68,4,7,3,1,2,1,0,0,11,0,0,0,0,7720
2016,"District 9",239,2248,2558,618,1026,677,812,631,1658,780,60,203,7,51,57,562,34,35,61,111,16,13,11,4,6,4,0,1,66,0,0,0,0,12549
2016,"District 2",268,2740,2126,286,861,658,730,733,1372,584,44,118,7,25,69,470,1,6,52,84,5,7,7,4,4,2,0,0,31,0,1,0,0,11295
2016,"District 19",375,4250,1625,192,502,488,487,1496,1208,755,41,45,6,18,73,421,2,5,70,42,25,6,7,1,5,5,0,2,8,0,0,0,0,12160
2016,"District 1",529,6545,1375,141,618,458,538,1873,761,215,44,32,7,17,65,230,6,4,76,32,8,10,13,0,5,3,3,0,9,0,1,0,0,13618
2016,"District 15",216,1421,2729,1336,867,596,825,432,1234,324,33,236,3,65,60,512,25,31,87,107,3,1,2,31,0,0,1,0,60,1,1,0,0,11239
2016,"District 11",322,2036,3906,3510,1330,1008,1041,520,1776,487,42,405,9,129,101,776,511,27,176,119,11,8,10,32,2,2,2,0,94,2,2,0,0,18396
2016,"District 22",219,1614,1583,284,600,294,756,630,1190,543,18,121,13,30,20,355,0,14,53,138,3,5,1,1,0,0,0,0,25,1,0,0,0,8511
2016,"District 14",262,3680,1371,128,531,473,413,653,1260,641,31,56,7,14,48,559,0,19,38,57,10,2,2,0,2,1,0,0,10,0,0,0,0,10268
2016,"District 31",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016,"District 21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"District 13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"District 23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"District 8",563,5488,4450,2384,1592,1280,1843,873,4804,2469,110,300,22,30,94,1210,392,67,292,197,53,10,14,47,0,1,0,0,32,0,0,0,0,28617
2009,"District 10",268,2326,3383,2290,1152,649,1251,297,1870,830,51,201,16,26,57,623,79,36,236,118,48,16,8,42,1,1,0,0,30,0,0,0,0,15905
2009,"District 12",493,5259,2771,1378,1003,598,1048,629,2329,983,70,122,15,22,49,835,138,21,184,77,41,10,7,30,0,1,0,1,20,0,0,0,0,18134
